ABC Shop,"G38 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9879 5094,"Whenever you make a purchase at one of our ABC Shops, ABC Centres or at abcshop.com.au all profits are returned to the ABC for content and program making. We are committed to ranging products which inform, entertain and educate. Thanks for your support.           ",yes,Red car park near JB Hi Fi,https://shop.abc.net.au/,http://www.facebook.com/ABCShop,http://instagram.com/abcshop
Adairs,L063 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,(03) 9879 6897,,yes,,,,
Airflex,2015 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,0420 857 579,,yes,Blue car park near Peter Jackson,http://www.airflex.com.au/,,
Ali Baba,FC14 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC,03 9870 4185,,,Purple car park near Dymocks,,,
Ally Fashion,"2054 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9870 0333,Shop the latest high street women's fashion at Ally Fashion without the heavy price tag. With over 50 new styles arriving every week there is never ending newness at Ally with its feminine signature style. Live. Love. Shop. allyfashion.comShop the latest high street women's fashion at Ally Fashion without the heavy price tag. With over 50 new styles arriving every week there is never ending newness at Ally with its feminine signature style.                                  ,yes,Purple car park near Dymocks,http://www.allyfashion.com/,https://www.facebook.com/AllyFashion,http://instagram.com/allyfashion
Alter It,2102 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,9847 0700,,,,,,
ANZ Bank,"1115 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9876 0566,,,Orange car park near Australia Post,,,
Australia Post,1003 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,13 13 18, ,yes,Pink Car park near Coles,,,
Bakers Delight,"1070 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9876 8244,"Over the pastÿ33 years this Australian owned company, has grown to over 700 bakeries across three countries, serving 2 million customers each week.Every day, in every bakery, Bakers Delight bakers use real ingredients to bake unreal bread. And what's baked that day, is sold fresh that day.Bakers Delight is committed to its founding mission: Real Bread, Real People, Real Delight.          ",,Pink car park near Coles,http://www.bakersdelight.com.au/,https://www.facebook.com/bakersdelight,http://instagram.com/bakersdelight
Balsamic Cafe Restaurant,R21 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,(03) 9870 4888,,yes,,,,
Balsamic Corner Lounge & Bar,"Level 3, Eastland 171-175 Maroondah Hwy, Ringwood",03 9870 4888,"Balsamic Corner Lounge & Bar is perfect for catching up with friends over a drink or two or perhaps even a bite to eat. Offering tapas & gourmet wood fired pizzas, plus an extensive range of beers, wines, spirits & cocktails ? Balsamic corner lounge & bar is the perfect place to relax.Perfect for functions with a wide range of flexible packages available to suit your requirements. Call 9870-4888 for further information or enquiries.    Gift cards: Accepted/Best parking: Level 3 Hoyts Carpark, entry off Warrandyte Road                                                                     ",yes,"Level 3 Hoyts Carpark, entry off Warrandyte Road",http://www.balsamic.com.au/,https://www.facebook.com/balsamic.restaurant.bar.ringwood,
Bank of Melbourne,L72 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,03 8804 5300,,,,,,
bankmecu,1066 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,8870 5100,"Atÿbankmecuÿwe believe in a more responsible approach to banking. It's a mission we stand by and one we act on in a number of ways, both big and small.We're owned by our customers, not investors.
That means, as a customer, you have a say in the decisions we make. Even better, our profits are reinvested back into the bank to provide you with fairer fees and better interest rates.All our products and services are designed with your best interests at heart - giving you the features and flexibility you need to achieve your financial goals and live more sustainably. And we invest your money responsibily and in ways that create greater benefits for our customers, the community and the environment.",,Coles Entrance via Warrandyte Rd,http://www.bankmecu.com.au/,https://www.facebook.com/bankmecu,
Bankwest,"1093 Eastland Shopping Centre 171 - 175 Maroondah Hwy, Ringwood VIC 3134",13 17 19,"Bankwest provides personal and business banking solutions for more than one million retail and business customers across Australia. Bankwest customers enjoy access to an extensive network of stores and business centres, direct and third party distribution channels, agencies and electronic banking facilities, as well as 24-hour telephone and internet banking. Bankwest was named as theÿSmart InvestorÿBlue Ribbon Awards Business Bank of the Year in 2013, andÿMoneyÿmagazine Money Minder of the Year in 2008, 2009, 2011, 2012 and 2013. Bankwest is a division of Commonwealth Bank of Australia ABN 48 123 123 124 AFSL/Australian credit licence 234945                                                ",,Red car park. near JB Hi Fi,http://www.bankwest.com.au/,https://www.facebook.com/bankwest,
Bayside Flowers,"K124 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9870 1869,,yes,Pink car park near Coles,,,
Bed Bath N Table,"1081 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9876 8407,,yes,Red car park near Photo Xpert,,,
Betts For Her,2016 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,0409 444 742,,yes,Blue car park near Peter Jackson,,,
Big W,00BW Eastland Shopping Centre 171 - 175 Maroondah Hwy Ringwood VIC 3134,03 8833 7600,"Throughout our entire range of merchandise, we have a huge selection of brand items, the brands you know and trust. How many times have you bought an item that wasn?t a brand and been disappointed by its inferior quality or performance.At BIG W, you can safely shop with the knowledge that we have the brands you know and trust and they?re at our famous Everyday Low Prices.",yes,Purple car park near Dymocks,http://www.bigw.com.au/,https://www.facebook.com/BIGWaustralia,https://instagram.com/bigwaustralia/
Bing Boy,FC03 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,,,,Blue car park near Suzanne Grae,,,
Blue Illusion,"2076 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9879 5291,"?Personal Curators of Style, in a French inspired boutique,? is an embraced Blue Illusion ethos. Blue Illusion is an exciting and highly successful retail concept, launched in Australia over 15 years ago. Based upon the three fundamental pillars of Fashion, Lifestyle & Community, Blue Illusion has emerged as an important player on the Australian & New Zealand fashion retail scene and has established an enviable market position.Blue Illusion is a beautiful retail concept designing for real women with a certain ?je ne sais quoi'. Every season, Blue Illusion curates a chic collection of fashion apparel, accessories and homewares, with clothing ranging from XS to 3XL.In addition, driving change and making a real difference is integral to Blue Illusion. On going partnerships with charities including World Vision, National Breast Cancer Foundation, Dress For Success, Bali Life, Red Cross Australia and Smith Family are the foundation to the brand?s vision of ultimate success. In recent years, Blue Illusion has donated in excess of $670k annually.",yes,Blue car park near Peter Jackson,http://www.blueillusion.com/,https://www.facebook.com/blueillusion,https://instagram.com/blue.illusion/
Bob's Barber Shop,"1075 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 9870 7333,,yes,"Pink car park, near Coles",,,
Boost Juice,"K201 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",9879 5844,"st, when Boost started, it was not started by an experienced seasoned retailer, it was started by me, a girl from the burbs who had no idea about business, but had a heart for adventure. My husband and I were new in our marriage, and wanted to be in more control of our destiny. I had worked in industries from advertising, to Nanny-ing in France to even a stint with David Bowie on his yacht in France (OK, I know what you are thinking, wow Bowie? well for those oldÿ enough to remember David Bowie anyway? and yes I met amazing people and went to amazing places, but guess who had to clean the 10 toilets on board??). Then I was back in Australia where I worked for a movie company called UIP in publicity, but I had never ran a business, but then again, I had never been a stewardess on a yacht before either.",,Blue car park near Suzanne Grae,http://www.boostjuice.com.au/,https://www.facebook.com/boostjuice,http://instagram.com/boost_juice
CBA,1138 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,(03) 9845 8133,,,,,,
Cobblers Plus,"K111 Eastland Shopping Centre 171-175 Maroondah Highway, Ringwood VIC",03 8838 8034,,yes,Red car park near JB Hi Fi,,,
Coles,000C Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 6956,"Coles has been a highly-regarded and much-loved part of Australian life for many years. We?re immensely proud of our history, but we?re also excited about the future and our ongoing commitment to helping Australia grow. You?ll find there?s a lot more to Coles than just our excellent quality and value!",,Pink car park near Baker's Delight,http://www.coles.com.au/,https://www.facebook.com/coles,
Colette by Colette Hayman,"2008, Eastland Shopping Centre/171 - 175 Maroondah Hwy, Ringwood",03 9879 6578,,yes,Blue car park near Suzanne Grae,http://www.colettehayman.com.au/,http://www.facebook.com/bycolettehayman,https://instagram.com/colettebycolettehayman/
Commonwealth Bank,1138 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9845 8133,,,Orange car park near Australia Post,,,
Connor,2065 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9870 7766,"Carve your own niche with Connorÿclothing for men.ÿMasculine, quality fashion at low prices creating exceptional value. They stock the latest in both casual and formal clothing including suits that will meet the fashion needs of every Aussie guy.",yes,Blue car park near Suzanne Grae,http://www.connor.com.au/,https://www.facebook.com/connorclothing,https://instagram.com/connor_clothing/
Cotton On,2056 Eastland Shopping Centre 171 - 175 Maroondah Hwy Ringwood VIC 3134,03 9870 3721,"With a vision to open stores into the thousands in the coming 5 years, Cotton On Group is taking the world by storm with its focus on fast, accessible and affordable fashion for everyone.It all began back in 1991 with one store in Geelong, Australia ...From modest beginnings, Cotton On has quickly evolved into a bona fide fashion destination with over 700 stores and 4500 employees.The original Cotton On offer has expanded to successfully branch into intimates, sleepwear and activewear with Cotton On Body; children?s fashion with Cotton On Kids, footwear with Rubi shoes; and gifts and stationery with Typo.With a significant presence in Australia, New Zealand, Singapore, Hong Kong, Malaysia, the United Arab Emirates and the USA.",yes,Purple car park near Dymocks,http://cottonon.com/AU,https://www.facebook.com/cottonon,
Country Road,2013 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood VIC 3134,03 8878 5100,"At Country Road, we're passionate about creating simply beautiful merchandise designed to reflect an authentically Australian way of life.We're committed to great quality and value. Our reputation is built on sourcing the very finest materials that the world has to offer, allowing us to combine top design trends with our signature fine tailoring and attention to detail.From the workplace to the weekend, from everyday essentials to desirable aspirational pieces, Country Road stands for natural simplicity with a relaxed, spontaneous style.",yes,Blue car park near Diana Ferrari,,https://www.facebook.com/CountryRoad,https://instagram.com/countryroad/
Credit Union Australia,1067 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 2044,,,Pink car park near Coles,,,
Deja Vu,1088 Eastland Shopping Centre 171-175 Maroondah Highway Ringwood VIC 3134,(03) 9870 3809,,yes,,,,
Diana Ferrari,2012 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9870 0522,,yes,Blue car park near Country Road,,,
Dick Smith,1098 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 7893,,yes,Red car park near JB Hi Fi,,,
Dumplings Plus,FC04 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 8948,,,Blue car park near Suzanne Grae,,,
Dusk,1083 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9847 0042,"Whether you want to be transported from the everyday, find that perfect gift or bring the magic of candlelight to your special day, dusk has exactly what you?re looking for. From our factory in Perth, we produce more than six million premium candles every year. So when you buy a dusk signature candle you are purchasing an Australian-made product from a wholly Australian-owned company.",yes,Red car park near Photo Xpert,http://www.dusk.com.au/,https://www.facebook.com/duskAustralasia,https://instagram.com/dusk_Australasia
Dymocks,2055 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9876 8255,"Dymocks is passionate about books in everything it does.ÿAs a family owned business and the oldest Australian-owned bookstore, Dymocks prides itself on meeting the leisure, learning and gift needs of all booklovers by offering superior customer service and an enhanced book buying experience.",yes,Purple car park near Ally Fashion,,,
Eastland Quality Meats and Poultry,L113 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9876 0877,,yes,Pink car park near Coles,,,
EB Games,2064 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 4088,,yes,Purple car park near Dymocks,,,
Escape Travel,"1140, Eastland Shopping Centre 171-175 Maroondah Hwy, Ringwood, VIC",1300 077 453,"With over 140 stores nationally, we offer our customers tailor made holiday experiences both in Australia and overseas.Escape Travel is the second largest Flight Centre Limited retail brandÿgiving our consultants access to all of the best airfares, tours, cruises and accommodation.Established in Australia in 1993 under the Great Holiday Escapes brand, a relaunch in January 2004 to Escape Travel was undertaken to better represent the range of services provided as a full service travel agency.Our consultants pride themselves on their knowledge of destinations around the world and their ability to deliver your perfect holiday experience come and see us today.Escape Travel will create a tailor-made escape for you, combining your preferred flights, tours, cruises and accommodation, as well as any other activities that take your fancy. Be inspired - spend time with one of Escape Travel's consultants today and create your perfect escape.",yes,Orange car park near Australia Post,http://www.escapetravel.com.au/,https://www.facebook.com/EscapeTravelAU,
Ferguson Plarre,KL20 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9847 0421,,yes,Orange car par across from Fish Pier,,,
Fish Pier,L109 Eastland Shopping Centre 171-175 Maroondah Hwy Ringwood 3134,03 9879 6922,,,Orange car park near Medicare,,,
